INFO:__main__:Elem(name='list_dir', exp='.csv', flag_dir=False, parent_dir='../Folder_for_HW09')
INFO:__main__:Elem(name='list_dir', exp='.json', flag_dir=False, parent_dir='../Folder_for_HW09')
INFO:__main__:Elem(name='list_dir', exp='.pickle', flag_dir=False, parent_dir='../Folder_for_HW09')
INFO:__main__:Elem(name='task_game_02', exp='.py', flag_dir=False, parent_dir='../Folder_for_HW09')
INFO:__main__:Elem(name='task_game_03', exp='.py', flag_dir=False, parent_dir='../Folder_for_HW09')
INFO:__main__:Elem(name='work6', exp='.py', flag_dir=False, parent_dir='../Folder_for_HW09')
INFO:__main__:Elem(name='new_test_bd', exp='.csv', flag_dir=False, parent_dir='../Folder_for_HW09\\FOLDER_01')
INFO:__main__:Elem(name='test_bd', exp='.csv', flag_dir=False, parent_dir='../Folder_for_HW09\\FOLDER_01')
INFO:__main__:Elem(name='test_bd', exp='.json', flag_dir=False, parent_dir='../Folder_for_HW09\\FOLDER_01')
INFO:__main__:Elem(name='newres', exp='.json', flag_dir=False, parent_dir='../Folder_for_HW09\\FOLDER_01\\Folder_top')
INFO:__main__:Elem(name='new_test_bd', exp='.json', flag_dir=False, parent_dir='../Folder_for_HW09\\FOLDER_01\\Folder_top')
INFO:__main__:Elem(name='newres', exp='.pickle', flag_dir=False, parent_dir='../Folder_for_HW09\\FOLDER_01\\Lower_folder')
INFO:__main__:Elem(name='new_test_bd', exp='.pickle', flag_dir=False, parent_dir='../Folder_for_HW09\\FOLDER_01\\Lower_folder')
INFO:__main__:Elem(name='test_bd', exp='.pickle', flag_dir=False, parent_dir='../Folder_for_HW09\\FOLDER_01\\Lower_folder')
INFO:__main__:Elem(name='nums', exp='.txt', flag_dir=False, parent_dir='../Folder_for_HW09\\FOLDER_02')
INFO:__main__:Elem(name='psew', exp='.txt', flag_dir=False, parent_dir='../Folder_for_HW09\\FOLDER_02')
INFO:__main__:Elem(name='result', exp='.txt', flag_dir=False, parent_dir='../Folder_for_HW09\\FOLDER_02')
